Country,Year,female_population,Female deaths,ICCS - CRIME DEFINITION,UNIT,Value,per100k
France,2012,33671600.0,283339.0,Rape,Number,,
France,2012,33671600.0,283339.0,Sexual assault,Number,,
France,2013,33827685.0,281922.0,Intentional homicide,Number,,
France,2013,33827685.0,281922.0,Rape,Number,,
France,2013,33827685.0,281922.0,Sexual assault,Number,,
France,2014,34120851.0,277036.0,Intentional homicide,Number,,
France,2014,34120851.0,277036.0,Rape,Number,,
France,2014,34120851.0,277036.0,Sexual assault,Number,,
France,2015,34283895.0,296755.0,Intentional homicide,Number,361.0,1.1
France,2015,34283895.0,296755.0,Rape,Number,10729.0,31.3
France,2015,34283895.0,296755.0,Sexual assault,Number,95.0,0.3
France,2016,34391005.0,296856.0,Intentional homicide,Number,311.0,0.9
France,2016,34391005.0,296856.0,Rape,Number,13050.0,37.9
France,2016,34391005.0,296856.0,Sexual assault,Number,19041.0,55.4
France,2017,34495464.0,305360.0,Intentional homicide,Number,311.0,0.9
France,2017,34495464.0,305360.0,Rape,Number,14899.0,43.2
France,2017,34495464.0,305360.0,Sexual assault,Number,21179.0,61.4
France,2018,34611994.0,,Intentional homicide,Number,244.0,0.7
France,2018,34611994.0,,Rape,Number,17558.0,50.7
France,2018,34611994.0,,Sexual assault,Number,25614.0,74.0
France,2019,34701745.0,,Intentional homicide,Number,285.0,0.8
France,2019,34701745.0,,Rape,Number,20694.0,59.6
France,2019,34701745.0,,Sexual assault,Number,28165.0,81.2
France,2020,34787547.0,328140.0,Intentional homicide,Number,240.0,0.7
France,2020,34787547.0,328140.0,Rape,Number,23057.0,66.3
France,2020,34787547.0,328140.0,Sexual assault,Number,27405.0,78.8
Germany,2012,41097953.0,453785.0,Intentional homicide,Number,296.0,0.7
Germany,2012,41097953.0,453785.0,Rape,Number,7754.0,18.9
Germany,2012,41097953.0,453785.0,Sexual assault,Number,26501.0,64.5
Germany,2013,41142770.0,465038.0,Intentional homicide,Number,328.0,0.8
Germany,2013,41142770.0,465038.0,Rape,Number,7153.0,17.4
Germany,2013,41142770.0,465038.0,Sexual assault,Number,26177.0,63.6
Germany,2014,41210540.0,446964.0,Intentional homicide,Number,339.0,0.8
Germany,2014,41210540.0,446964.0,Rape,Number,7048.0,17.1
Germany,2014,41210540.0,446964.0,Sexual assault,Number,25497.0,61.9
Germany,2015,41362080.0,476588.0,Intentional homicide,Number,327.0,0.8
Germany,2015,41362080.0,476588.0,Rape,Number,6732.0,16.3
Germany,2015,41362080.0,476588.0,Sexual assault,Number,25370.0,61.3
Germany,2016,41661561.0,463486.0,Intentional homicide,Number,469.0,1.1
Germany,2016,41661561.0,463486.0,Rape,Number,7622.0,18.3
Germany,2016,41661561.0,463486.0,Sexual assault,Number,27145.0,65.2
Germany,2017,41824535.0,475322.0,Intentional homicide,Number,380.0,0.9
Germany,2017,41824535.0,475322.0,Rape,Number,7831.0,18.7
Germany,2017,41824535.0,475322.0,Sexual assault,Number,24702.0,59.1
Germany,2018,41948786.0,485711.0,Intentional homicide,Number,367.0,0.9
Germany,2018,41948786.0,485711.0,Rape,Number,8600.0,20.5
Germany,2018,41948786.0,485711.0,Sexual assault,Number,29691.0,70.8
Germany,2019,42052522.0,474536.0,Intentional homicide,Number,276.0,0.7
Germany,2019,42052522.0,474536.0,Rape,Number,9029.0,21.5
Germany,2019,42052522.0,474536.0,Sexual assault,Number,28925.0,68.8
Germany,2020,42129098.0,493503.0,Intentional homicide,Number,357.0,0.8
Germany,2020,42129098.0,493503.0,Rape,Number,9597.0,22.8
Germany,2020,42129098.0,493503.0,Sexual assault,Number,28143.0,66.8
Germany,2021,42128512.0,,Intentional homicide,Number,337.0,0.8
Germany,2021,42128512.0,,Rape,Number,8611.0,20.4
Germany,2021,42128512.0,,Sexual assault,Number,26983.0,64.0
Greece,2012,5662522.0,56533.0,Intentional homicide,Number,39.0,0.7
Greece,2012,5662522.0,56533.0,Rape,Number,234.0,4.1
Greece,2012,5662522.0,56533.0,Sexual assault,Number,,
Greece,2013,5637364.0,54163.0,Intentional homicide,Number,50.0,0.9
Greece,2013,5637364.0,54163.0,Rape,Number,222.0,3.9
Greece,2013,5637364.0,54163.0,Sexual assault,Number,,
Greece,2014,5613568.0,55194.0,Intentional homicide,Number,27.0,0.5
Greece,2014,5613568.0,55194.0,Rape,Number,194.0,3.5
Greece,2014,5613568.0,55194.0,Sexual assault,Number,,
Greece,2015,5589628.0,59535.0,Intentional homicide,Number,30.0,0.5
Greece,2015,5589628.0,59535.0,Rape,Number,183.0,3.3
Greece,2015,5589628.0,59535.0,Sexual assault,Number,,
Greece,2016,5559538.0,58320.0,Intentional homicide,Number,26.0,0.5
Greece,2016,5559538.0,58320.0,Rape,Number,217.0,3.9
Greece,2016,5559538.0,58320.0,Sexual assault,Number,,
Greece,2017,5546916.0,61341.0,Intentional homicide,Number,23.0,0.4
Greece,2017,5546916.0,61341.0,Rape,Number,223.0,4.0
Greece,2017,5546916.0,61341.0,Sexual assault,Number,2.0,0.0
Greece,2018,5531125.0,58919.0,Intentional homicide,Number,29.0,0.5
Greece,2018,5531125.0,58919.0,Rape,Number,142.0,2.6
Greece,2018,5531125.0,58919.0,Sexual assault,Number,,
Greece,2019,5516306.0,61887.0,Intentional homicide,Number,19.0,0.3
Greece,2019,5516306.0,61887.0,Rape,Number,148.0,2.7
Greece,2019,5516306.0,61887.0,Sexual assault,Number,,
Greece,2020,5503077.0,64488.0,Intentional homicide,Number,18.0,0.3
Greece,2020,5503077.0,64488.0,Rape,Number,202.0,3.7
Greece,2020,5503077.0,64488.0,Sexual assault,Number,,
Greece,2021,5482584.0,70343.0,Intentional homicide,Number,33.0,0.6
Greece,2021,5482584.0,70343.0,Rape,Number,202.0,3.7
Hungary,2012,5207259.0,65936.0,Intentional homicide,Number,58.0,1.1
Hungary,2012,5207259.0,65936.0,Rape,Number,188.0,3.6
Hungary,2012,5207259.0,65936.0,Sexual assault,Number,352.0,6.8
Hungary,2013,5192845.0,64884.0,Intentional homicide,Number,71.0,1.4
Hungary,2013,5192845.0,64884.0,Rape,Number,216.0,4.2
Hungary,2013,5192845.0,64884.0,Sexual assault,Number,341.0,6.6
Hungary,2014,5173974.0,64316.0,Intentional homicide,Number,67.0,1.3
Hungary,2014,5173974.0,64316.0,Rape,Number,261.0,5.0
Hungary,2014,5173974.0,64316.0,Sexual assault,Number,233.0,4.5
Hungary,2015,5159792.0,68152.0,Intentional homicide,Number,102.0,2.0
Hungary,2015,5159792.0,68152.0,Rape,Number,316.0,6.1
Hungary,2015,5159792.0,68152.0,Sexual assault,Number,191.0,3.7
Hungary,2016,5141966.0,64395.0,Intentional homicide,Number,46.0,0.9
Hungary,2016,5141966.0,64395.0,Rape,Number,495.0,9.6
Hungary,2016,5141966.0,64395.0,Sexual assault,Number,,
Hungary,2017,5122270.0,67649.0,Intentional homicide,Number,44.0,0.9
Hungary,2017,5122270.0,67649.0,Rape,Number,460.0,9.0
Hungary,2017,5122270.0,67649.0,Sexual assault,Number,,
Hungary,2018,5106769.0,67029.0,Intentional homicide,Number,43.0,0.8
Hungary,2018,5106769.0,67029.0,Rape,Number,412.0,8.1
Hungary,2018,5106769.0,67029.0,Sexual assault,Number,,
Hungary,2019,5096935.0,66617.0,Intentional homicide,Number,31.0,0.6
Hungary,2019,5096935.0,66617.0,Rape,Number,294.0,5.8
Hungary,2019,5096935.0,66617.0,Sexual assault,Number,,
Hungary,2020,5088736.0,73481.0,Intentional homicide,Number,39.0,0.8
Hungary,2020,5088736.0,73481.0,Rape,Number,415.0,8.2
Hungary,2020,5088736.0,73481.0,Sexual assault,Number,,
Ireland,2012,2315288.0,14241.0,Intentional homicide,Number,,
Ireland,2012,2315288.0,14241.0,Rape,Number,483.0,20.9
Ireland,2012,2315288.0,14241.0,Sexual assault,Number,1077.0,46.5
Ireland,2013,2326317.0,14545.0,Intentional homicide,Number,,
Ireland,2013,2326317.0,14545.0,Rape,Number,369.0,15.9
Ireland,2013,2326317.0,14545.0,Sexual assault,Number,1025.0,44.1
Ireland,2014,2342002.0,14355.0,Intentional homicide,Number,,
Ireland,2014,2342002.0,14355.0,Rape,Number,429.0,18.3
Ireland,2014,2342002.0,14355.0,Sexual assault,Number,1040.0,44.4
Ireland,2015,2364285.0,14899.0,Intentional homicide,Number,7.0,0.3
Ireland,2015,2364285.0,14899.0,Rape,Number,599.0,25.3
Ireland,2015,2364285.0,14899.0,Sexual assault,Number,1059.0,44.8
Ireland,2016,2387145.0,15047.0,Intentional homicide,Number,2.0,0.1
Ireland,2016,2387145.0,15047.0,Rape,Number,613.0,25.7
Ireland,2016,2387145.0,15047.0,Sexual assault,Number,1170.0,49.0
Ireland,2017,2416465.0,14929.0,Intentional homicide,Number,15.0,0.6
Ireland,2017,2416465.0,14929.0,Rape,Number,745.0,30.8
Ireland,2017,2416465.0,14929.0,Sexual assault,Number,1303.0,53.9
Ireland,2018,2438169.0,15095.0,Intentional homicide,Number,10.0,0.4
Ireland,2018,2438169.0,15095.0,Rape,Number,902.0,37.0
Ireland,2018,2438169.0,15095.0,Sexual assault,Number,1388.0,56.9
Ireland,2019,2475359.0,14912.0,Intentional homicide,Number,8.0,0.3
Ireland,2019,2475359.0,14912.0,Rape,Number,939.0,37.9
Ireland,2019,2475359.0,14912.0,Sexual assault,Number,1354.0,54.7
Ireland,2020,2506783.0,15315.0,Intentional homicide,Number,6.0,0.2
Ireland,2020,2506783.0,15315.0,Rape,Number,879.0,35.1
Ireland,2020,2506783.0,15315.0,Sexual assault,Number,1130.0,45.1
Ireland,2021,2528521.0,15843.0,Intentional homicide,Number,8.0,0.3
Italy,2012,30667608.0,317689.0,Intentional homicide,Number,150.0,0.5
Italy,2012,30667608.0,317689.0,Rape,Number,,
Italy,2012,30667608.0,317689.0,Sexual assault,Number,3971.0,12.9
Italy,2013,30795630.0,309281.0,Intentional homicide,Number,180.0,0.6
Italy,2013,30795630.0,309281.0,Rape,Number,,
Italy,2013,30795630.0,309281.0,Sexual assault,Number,3971.0,12.9
Italy,2014,31298104.0,308870.0,Intentional homicide,Number,153.0,0.5
Italy,2014,31298104.0,308870.0,Rape,Number,,
Italy,2014,31298104.0,308870.0,Sexual assault,Number,3662.0,11.7
Italy,2015,31294022.0,338656.0,Intentional homicide,Number,143.0,0.5
Italy,2015,31294022.0,338656.0,Rape,Number,,
Italy,2015,31294022.0,338656.0,Sexual assault,Number,3478.0,11.1
Italy,2016,31209230.0,320418.0,Intentional homicide,Number,151.0,0.5
Italy,2016,31209230.0,320418.0,Rape,Number,,
Italy,2016,31209230.0,320418.0,Sexual assault,Number,,
Italy,2017,31143704.0,340023.0,Intentional homicide,Number,132.0,0.4
Italy,2017,31143704.0,340023.0,Rape,Number,,
Italy,2017,31143704.0,340023.0,Sexual assault,Number,,
Italy,2018,31056366.0,329961.0,Intentional homicide,Number,141.0,0.5
Italy,2018,31056366.0,329961.0,Rape,Number,,
Italy,2018,31056366.0,329961.0,Sexual assault,Number,,
Italy,2019,30685478.0,333897.0,Intentional homicide,Number,111.0,0.4
Italy,2019,30685478.0,333897.0,Rape,Number,,
Italy,2019,30685478.0,333897.0,Sexual assault,Number,,
Italy,2020,30591392.0,380899.0,Intentional homicide,Number,116.0,0.4
Italy,2020,30591392.0,380899.0,Rape,Number,,
Italy,2020,30591392.0,380899.0,Sexual assault,Number,,
Italy,2021,30369987.0,,Intentional homicide,Number,119.0,0.4
Latvia,2012,1110001.0,15255.0,Intentional homicide,Number,37.0,3.3
Latvia,2012,1110001.0,15255.0,Rape,Number,48.0,4.3
Latvia,2012,1110001.0,15255.0,Sexual assault,Number,80.0,7.2
Latvia,2013,1097245.0,15200.0,Intentional homicide,Number,24.0,2.2
Latvia,2013,1097245.0,15200.0,Rape,Number,47.0,4.3
Latvia,2013,1097245.0,15200.0,Sexual assault,Number,100.0,9.1
Latvia,2014,1084423.0,14661.0,Intentional homicide,Number,36.0,3.3
Latvia,2014,1084423.0,14661.0,Rape,Number,55.0,5.1
Latvia,2014,1084423.0,14661.0,Sexual assault,Number,102.0,9.4
Latvia,2015,1074889.0,15046.0,Intentional homicide,Number,29.0,2.7
Latvia,2015,1074889.0,15046.0,Rape,Number,48.0,4.5
Latvia,2015,1074889.0,15046.0,Sexual assault,Number,92.0,8.6
Latvia,2016,1064658.0,14935.0,Intentional homicide,Number,34.0,3.2
Latvia,2016,1064658.0,14935.0,Rape,Number,81.0,7.6
