Country,Year,Population,female_population,Female deaths,ICSS CRIME,LEGAL STATUS OF PERPETRATOR,Value,per_100k
Croatia,2012,4275984,2213675.0,26099.0,Rape,Prosecuted person,103.0,5.0
Croatia,2012,4275984,2213675.0,26099.0,Rape,Convicted person,47.0,2.3
Croatia,2012,4275984,2213675.0,26099.0,Sexual assault,Suspected person,136.0,6.6
Croatia,2012,4275984,2213675.0,26099.0,Sexual assault,Prosecuted person,293.0,14.2
Croatia,2012,4275984,2213675.0,26099.0,Sexual assault,Convicted person,224.0,10.9
Croatia,2013,4262140,2205657.0,25530.0,Intentional homicide,Suspected person,34.0,1.7
Croatia,2013,4262140,2205657.0,25530.0,Intentional homicide,Prosecuted person,0.0,0.0
Croatia,2013,4262140,2205657.0,25530.0,Intentional homicide,Convicted person,44.0,2.1
Croatia,2013,4262140,2205657.0,25530.0,Rape,Suspected person,174.0,8.5
Croatia,2013,4262140,2205657.0,25530.0,Rape,Prosecuted person,76.0,3.7
Croatia,2013,4262140,2205657.0,25530.0,Rape,Convicted person,47.0,2.3
Croatia,2013,4262140,2205657.0,25530.0,Sexual assault,Suspected person,157.0,7.6
Croatia,2013,4262140,2205657.0,25530.0,Sexual assault,Prosecuted person,310.0,15.1
Croatia,2013,4262140,2205657.0,25530.0,Sexual assault,Convicted person,167.0,8.1
Croatia,2014,4246809,2197061.0,26031.0,Intentional homicide,Suspected person,33.0,1.6
Croatia,2014,4246809,2197061.0,26031.0,Intentional homicide,Prosecuted person,1.0,0.0
Croatia,2014,4246809,2197061.0,26031.0,Intentional homicide,Convicted person,45.0,2.2
Croatia,2014,4246809,2197061.0,26031.0,Rape,Suspected person,174.0,8.5
Croatia,2014,4246809,2197061.0,26031.0,Rape,Prosecuted person,104.0,5.1
Croatia,2014,4246809,2197061.0,26031.0,Rape,Convicted person,53.0,2.6
Croatia,2014,4246809,2197061.0,26031.0,Sexual assault,Suspected person,117.0,5.7
Croatia,2014,4246809,2197061.0,26031.0,Sexual assault,Prosecuted person,301.0,14.7
Croatia,2014,4246809,2197061.0,26031.0,Sexual assault,Convicted person,187.0,9.1
Croatia,2015,4225316,2186089.0,27987.0,Intentional homicide,Suspected person,33.0,1.6
Croatia,2015,4225316,2186089.0,27987.0,Intentional homicide,Prosecuted person,,
Croatia,2015,4225316,2186089.0,27987.0,Intentional homicide,Convicted person,30.0,1.5
Croatia,2015,4225316,2186089.0,27987.0,Rape,Suspected person,136.0,6.7
